# Bank	Start	EndExclusive	InstructionCount	GhidraBlock
08	803C	80B3	58	PRG08_8
08	80B7	80C2	5	PRG08_8
08	80C4	8225	179	PRG08_8
08	823D	833E	149	PRG08_8
08	8340	8389	34	PRG08_8
08	838D	8450	97	PRG08_8
08	8452	84E4	77	PRG08_8
08	84E6	84E7	1	PRG08_8
08	84E9	8533	35	PRG08_8
08	8535	8649	144	PRG08_8
08	864B	8703	94	PRG08_8
08	8710	882A	146	PRG08_8
08	883C	8A6C	296	PRG08_8
08	8A85	8A92	6	PRG08_8
08	AEE3	AEE6	2	PRG08_8
08	AF13	AF59	33	PRG08_8
08	AF67	B06D	134	PRG08_8
08	B06F	B136	91	PRG08_8
08	B145	B177	25	PRG08_8
08	B180	B2DE	176	PRG08_8
08	B2E5	B46B	194	PRG08_8
08	B478	B5D3	177	PRG08_8
08	B5D8	B5ED	13	PRG08_8
08	B5F1	B66A	61	PRG08_8
08	B6B8	B6BE	3	PRG08_8
08	B6C1	B6C9	4	PRG08_8
08	B6CB	B73B	61	PRG08_8
08	B75D	B76C	8	PRG08_8
08	B799	B79B	2	PRG08_8
08	B7AE	B7B0	1	PRG08_8
0E	8008	801B	10	PRG14_8
0E	8026	8027	1	PRG14_8
0E	802D	8091	49	PRG14_8
0E	BAF7	BB53	48	PRG14_8
0E	BEEA	BF48	48	PRG14_8
0F	C001	C01A	9	PRG15_C
0F	C01C	C01D	1	PRG15_C
0F	C01F	C020	1	PRG15_C
0F	C022	C023	1	PRG15_C
0F	C025	C026	1	PRG15_C
0F	C028	C029	1	PRG15_C
0F	C02B	C02C	1	PRG15_C
0F	C02E	C0D2	68	PRG15_C
0F	C104	C221	139	PRG15_C
0F	C222	C37B	143	PRG15_C
0F	C38B	C54E	251	PRG15_C
0F	C569	C5B9	39	PRG15_C
0F	C626	C65A	25	PRG15_C
0F	C662	C73E	121	PRG15_C
0F	C78C	C7DC	54	PRG15_C
0F	C7E1	C7FA	13	PRG15_C
0F	C813	C888	66	PRG15_C
0F	C891	C94B	100	PRG15_C
0F	C94E	C96F	17	PRG15_C
0F	C971	C972	1	PRG15_C
0F	C974	C975	1	PRG15_C
0F	C977	C978	1	PRG15_C
0F	C97A	C97B	1	PRG15_C
0F	C97D	C98F	8	PRG15_C
0F	C9ED	C9FD	6	PRG15_C
0F	C9FF	CA3D	25	PRG15_C
0F	CA41	CAAE	50	PRG15_C
0F	CAD8	CADF	3	PRG15_C
0F	CAEA	CB1A	21	PRG15_C
0F	CB1E	CB8B	48	PRG15_C
0F	CB8D	CB90	2	PRG15_C
0F	CB93	CB94	1	PRG15_C
0F	CB97	CC23	62	PRG15_C
0F	CC33	CC43	7	PRG15_C
0F	CC63	CC75	9	PRG15_C
0F	CC78	CC7E	3	PRG15_C
0F	CC80	CD70	120	PRG15_C
0F	CD78	CD8B	9	PRG15_C
0F	CD8E	CDA4	11	PRG15_C
0F	CDB6	CDC1	6	PRG15_C
0F	CDC8	CE26	41	PRG15_C
0F	CE2E	CE35	3	PRG15_C
0F	CE37	CE66	20	PRG15_C
0F	CE68	CE8C	15	PRG15_C
0F	CE9A	CEBB	14	PRG15_C
0F	CEBD	CEE2	20	PRG15_C
0F	CEE6	CEE7	1	PRG15_C
0F	CEEE	CEEF	1	PRG15_C
0F	CEF3	CEF4	1	PRG15_C
0F	CF03	CF35	22	PRG15_C
0F	CF37	CF39	2	PRG15_C
0F	CF41	CF5C	13	PRG15_C
0F	CF5E	CF71	10	PRG15_C
0F	CF7D	CF8E	8	PRG15_C
0F	CF90	D002	51	PRG15_C
0F	D007	D011	6	PRG15_C
0F	D013	D02D	12	PRG15_C
0F	D049	D04A	1	PRG15_C
0F	D050	D0DD	71	PRG15_C
0F	D0E2	D0E3	1	PRG15_C
0F	D0EF	D1B9	100	PRG15_C
0F	D1C9	D1F9	20	PRG15_C
0F	D1FC	D1FF	3	PRG15_C
0F	D202	D204	2	PRG15_C
0F	D206	D210	4	PRG15_C
0F	D218	D239	16	PRG15_C
0F	D241	D277	24	PRG15_C
0F	D28C	D2E3	51	PRG15_C
0F	D2E9	D476	222	PRG15_C
0F	D486	D4A8	15	PRG15_C
0F	D4AA	D5BB	139	PRG15_C
0F	D5C0	D710	161	PRG15_C
0F	D712	D925	258	PRG15_C
0F	D928	D982	37	PRG15_C
0F	D99B	D9C8	17	PRG15_C
0F	D9CB	D9FE	23	PRG15_C
0F	DA06	DA3B	22	PRG15_C
0F	DA3E	DA44	2	PRG15_C
0F	DA47	DA56	6	PRG15_C
0F	DA59	DA72	10	PRG15_C
0F	DA75	DA9E	21	PRG15_C
0F	DAA4	DABC	12	PRG15_C
0F	DAC3	DBBE	116	PRG15_C
0F	DBC1	DBE8	17	PRG15_C
0F	DBF5	DC2D	25	PRG15_C
0F	DC30	DC38	3	PRG15_C
0F	DC3B	DD15	105	PRG15_C
0F	DD1F	DDC1	82	PRG15_C
0F	DDC4	DDD0	6	PRG15_C
0F	DDD8	DE7B	70	PRG15_C
0F	DE92	DEA5	9	PRG15_C
0F	DECF	DED2	1	PRG15_C
0F	DEE5	DEEB	4	PRG15_C
0F	DEED	DF02	9	PRG15_C
0F	DF83	DFEF	52	PRG15_C
0F	E035	E3E0	457	PRG15_C
0F	E3E2	E4F6	138	PRG15_C
0F	E54B	E565	13	PRG15_C
0F	E567	E568	1	PRG15_C
0F	E56A	E56B	1	PRG15_C
0F	E56D	E56E	1	PRG15_C
0F	E570	E574	3	PRG15_C
0F	E576	E8F8	462	PRG15_C
0F	E938	E94E	11	PRG15_C
0F	E950	E9DE	72	PRG15_C
0F	E9E0	EA78	73	PRG15_C
0F	EA7A	EB93	131	PRG15_C
0F	EB9B	EBEF	40	PRG15_C
0F	EBF1	ED1F	148	PRG15_C
0F	ED23	ED72	36	PRG15_C
0F	ED74	EFBE	270	PRG15_C
0F	EFBF	F371	433	PRG15_C
0F	F372	F481	133	PRG15_C
0F	F489	F4A3	13	PRG15_C
0F	F4AB	F573	97	PRG15_C
0F	F58A	F5AC	18	PRG15_C
0F	F5DB	F5DD	1	PRG15_C
0F	F620	F625	2	PRG15_C
0F	FABE	FB6C	80	PRG15_C
0F	FF74	FF86	10	PRG15_C
0F	FF91	FFDF	39	PRG15_C
10	8080	81CF	171	PRG16_8
10	8202	8205	1	PRG16_8
10	8212	8483	319	PRG16_8
10	8485	8489	2	PRG16_8
10	8490	8540	99	PRG16_8
10	8548	85A6	48	PRG16_8
10	85A8	8831	327	PRG16_8
